region_code,centers_x,centers_y
01,-100.0,-100.0
02,-100.0,-100.0
03,-100.0,-100.0
04,-100.0,-100.0
06,-100.0,-100.0
11,2.3354880097019404,48.80583509172309
24,1.6500491485215791,47.503271072764456
27,5.1821402767716425,47.274397990857594
28,0.09159772384650741,49.11449162492921
32,2.752487271407148,49.9740956504683
44,5.767742652652836,48.65249543452008
52,-0.7964314969573216,47.513900545530504
53,-2.8432438903271793,48.176207682464366
75,0.3224234074323134,45.29078231895857
76,2.0777985291477123,43.66132630778125
84,4.582947958651617,45.517709716558336
93,6.022112554896803,43.95044351595331
94,9.096978089909006,42.12941236979724
COM,-100.0,-100.0
